"ID";"SEXE";"AGE";"SITCONJ";"RESNB";"RESISOL";"LOGAUTRE";"MASQUE";"TEMPS";"INQUIET";"VOISINS";"CONTROL";"AMIS";"FAMILLE";"POL";"DIPLONIV";"SITPROF_rec";"PCS_rec6";"REV";"POIDS_init"
11;"Un homme";59;"Oui";4;"Oui, autant que je voulais";"Non, je suis toujours dans mon logement habituel.";"Non sélectionné";"Oui, je manque un peu de temps libre";"Non sélectionné";"Non sélectionné";"Non, jamais";"Plus souvent";"Ni plus ni moins";"A gauche";"Un diplôme universitaire correspondant à plus de 4 années d'études supérieures après le baccalauréat (maîtrise, DEA, DES";"En emploi";"Cadres et professions intellectuelles supérieures";"De 5000 euros à moins de 6000 euros par mois";0,66043283991607
12;"Une femme";55;"Non";2;"Oui, autant que je voulais";"Non, je suis toujours dans mon logement habituel.";"Oui";"Oui, je manque vraiment de temps libre";"Non sélectionné";"Oui";"Non, jamais";"Moins souvent";"Plus souvent";"Je ne me retrouve pas dans ces catégories";"Un diplôme universitaire correspondant à moins de 4 années d'études supérieures après le baccalauréat (par exemple : DUT";"Femme ou homme au foyer";"Cadres et professions intellectuelles supérieures";"De 1600 euros à moins de 2000 euros par mois";1,57836266813885
13;"Une femme";74;"Oui";2;"Oui, autant que je voulais";"Non, je suis toujours dans mon logement habituel.";"Oui";"Non, je ne manque pas du tout de temps libre";"Oui";"Oui";"Non, jamais";"Plus souvent";"Plus souvent";"Au centre";"Un diplôme universitaire correspondant à plus de 4 années d'études supérieures après le baccalauréat (maîtrise, DEA, DES";"Retraité(e)";"Cadres et professions intellectuelles supérieures";"De 5000 euros à moins de 6000 euros par mois";1,47236346030317
14;"Un homme";26;"Oui";1;"Oui, autant que je voulais";"Non, je suis toujours dans mon logement habituel.";"Non sélectionné";"Non, je ne manque pas du tout de temps libre";"Oui";"Oui";"Non, jamais";"Plus souvent";"Plus souvent";"Je ne me retrouve pas dans ces catégories";"Un diplôme universitaire correspondant à moins de 4 années d'études supérieures après le baccalauréat (par exemple : DUT";"En emploi";"Artisan(e)s, commerçant(e)s, chef(fe)s d'entreprise";"Moins de 800 euros par mois";1,83646211759221
15;"Une femme";68;"Non";1;"Oui, autant que je voulais";"Non, je suis toujours dans mon logement habituel.";"Oui";"Non, je ne manque pas du tout de temps libre";"Oui";"Oui";"Non, jamais";"Plus souvent";"Plus souvent";"A droite";"Le baccalauréat";"Retraité(e)";"Employé(e)s";"De 2000 euros à moins de 2500 euros par mois";0,875551696736175
16;"Un homme";20;"Non";2;"Oui, autant que je voulais";"Non, je suis toujours dans mon logement habituel.";"Oui";"Oui, je manque un peu de temps libre";"Non sélectionné";"Non sélectionné";"Non, jamais";"Plus souvent";"Ni plus ni moins";"Je ne me retrouve pas dans ces catégories";"Le baccalauréat";"En études";;"De 800 euros à moins de 1200 euros par mois";3,50716854545499
17;"Un homme";26;"Oui";2;"Oui, autant que je voulais";"Non, je suis toujours dans mon logement habituel.";"Non sélectionné";"Non, je ne manque pas du tout de temps libre";"Non sélectionné";"Non sélectionné";"Non, jamais";"Ni plus ni moins";"Ni plus ni moins";"A gauche";"Le baccalauréat";"En emploi";"Professions intermédiaires";"De 1600 euros à moins de 2000 euros par mois";1,51018828817913
18;"Une femme";53;"Non";2;"Oui, autant que je voulais";"Non, je suis toujours dans mon logement habituel.";"Non sélectionné";"Oui, je manque vraiment de temps libre";"Non sélectionné";"Non sélectionné";"Non, jamais";"Plus souvent";"Plus souvent";"A gauche";"Un diplôme universitaire correspondant à plus de 4 années d'études supérieures après le baccalauréat (maîtrise, DEA, DES";"En emploi";"Cadres et professions intellectuelles supérieures";"De 4000 euros à moins de 5000 euros par mois";0,227260811904032
19;"Un homme";47;"Oui";4;"Non";"Non, je suis toujours dans mon logement habituel.";"Non sélectionné";"Oui, je manque vraiment de temps libre";"Oui";"Non sélectionné";"Non, jamais";"Ni plus ni moins";"Moins souvent";"Je ne me retrouve pas dans ces catégories";"Le baccalauréat";"A la recherche d'un emploi";"Employé(e)s";"De 2000 euros à moins de 2500 euros par mois";2,50162869100262
20;"Une femme";34;"Oui";3;"Oui, mais pas autant que je voulais";"Non, je suis toujours dans mon logement habituel.";"Oui";"Non, je ne manque pas vraiment de temps libre";"Oui";"Oui";"Non, jamais";"Ni plus ni moins";"Plus souvent";"Je ne me retrouve pas dans ces catégories";"Un diplôme universitaire correspondant à moins de 4 années d'études supérieures après le baccalauréat (par exemple : DUT";"En emploi";"Professions intermédiaires";"De 2500 euros à moins de 3000 euros par mois";0,335693442076508
21;"Une femme";20;"Oui";2;"Oui, mais pas autant que je voulais";"Non, je suis toujours dans mon logement habituel.";"Oui";"Non, je ne manque pas du tout de temps libre";"Oui";"Non sélectionné";"Non, jamais";"Moins souvent";"Plus souvent";"A gauche";"Le baccalauréat";"En emploi";"Employé(e)s";"De 1200 euros à moins de 1600 euros par mois";1,25876629306751
22;"Une femme";41;"Oui";4;"Oui, mais pas autant que je voulais";"Non, je suis toujours dans mon logement habituel.";"Oui";"Oui, je manque un peu de temps libre";"Oui";"Non sélectionné";"Non, jamais";"Moins souvent";"Plus souvent";"Je ne me retrouve pas dans ces catégories";"Un diplôme universitaire correspondant à plus de 4 années d'études supérieures après le baccalauréat (maîtrise, DEA, DES";"En emploi";"Cadres et professions intellectuelles supérieures";;0,292585155436245
23;"Une femme";22;"Non";3;"Oui, autant que je voulais";"Non, je suis toujours dans mon logement habituel.";"Non sélectionné";"Non, je ne manque pas du tout de temps libre";"Non sélectionné";"Non sélectionné";"Non, jamais";"Ni plus ni moins";"Ni plus ni moins";"A gauche";"Le baccalauréat";"En emploi";"Ouvrier(e)s";"De 2500 euros à moins de 3000 euros par mois";0,818508083637046
24;"Une femme";39;"Oui";5;"Oui, autant que je voulais";"Non, je suis toujours dans mon logement habituel.";"Non sélectionné";"Non, je ne manque pas vraiment de temps libre";"Oui";"Non sélectionné";"Non, jamais";"Ni plus ni moins";"Ni plus ni moins";"Je ne me retrouve pas dans ces catégories";"Un diplôme universitaire correspondant à plus de 4 années d'études supérieures après le baccalauréat (maîtrise, DEA, DES";"En emploi";"Cadres et professions intellectuelles supérieures";"De 3000 euros à moins de 4000 euros par mois";0,201869182276958
25;"Une femme";48;"Oui";2;"Oui, autant que je voulais";"Non, je suis toujours dans mon logement habituel.";"Non sélectionné";"Non, je ne manque pas du tout de temps libre";"Oui";"Non sélectionné";"Oui, plusieurs fois";"Moins souvent";"Moins souvent";"Je ne me retrouve pas dans ces catégories";"Le certificat d'études ou un diplôme de l'enseignement secondaire autre que le baccalauréat (par exemple : CAP, BEP, Bre";"Dans une autre situation d'inactivité";;"De 2500 euros à moins de 3000 euros par mois";1,75288283894967
26;"Une femme";49;"Oui";4;"Oui, mais pas autant que je voulais";"Non, je suis toujours dans mon logement habituel.";"Non sélectionné";"Non, je ne manque pas du tout de temps libre";"Non sélectionné";"Non sélectionné";"Non, jamais";"Ni plus ni moins";"Plus souvent";"Je ne me retrouve pas dans ces catégories";"Un diplôme universitaire correspondant à moins de 4 années d'études supérieures après le baccalauréat (par exemple : DUT";"En emploi";"Employé(e)s";"De 2500 euros à moins de 3000 euros par mois";0,66260789549219
27;"Un homme";33;"Oui";2;"Oui, autant que je voulais";"Non, je suis toujours dans mon logement habituel.";"Oui";"Non, je ne manque pas du tout de temps libre";"Oui";"Non sélectionné";"Non, jamais";"Ni plus ni moins";"Ni plus ni moins";"Ni à gauche ni à droite";"Le certificat d'études ou un diplôme de l'enseignement secondaire autre que le baccalauréat (par exemple : CAP, BEP, Bre";"En emploi";"Artisan(e)s, commerçant(e)s, chef(fe)s d'entreprise";"De 3000 euros à moins de 4000 euros par mois";2,66399439474326
28;"Une femme";26;"Oui";2;"Non";"Non, je suis toujours dans mon logement habituel.";"Non sélectionné";"Non, je ne manque pas du tout de temps libre";"Non sélectionné";"Non sélectionné";"Non, jamais";"Moins souvent";"Moins souvent";"Je ne me retrouve pas dans ces catégories";"Un diplôme universitaire correspondant à moins de 4 années d'études supérieures après le baccalauréat (par exemple : DUT";"En emploi";"Employé(e)s";"De 3000 euros à moins de 4000 euros par mois";0,391485119046098
29;"Une femme";26;"Oui";2;"Oui, mais pas autant que je voulais";"Non, je suis toujours dans mon logement habituel.";"Oui";"Oui, je manque un peu de temps libre";"Oui";"Oui";"Oui, plusieurs fois";"Plus souvent";"Plus souvent";"Je ne me retrouve pas dans ces catégories";"Le baccalauréat";"En emploi";"Employé(e)s";"De 1200 euros à moins de 1600 euros par mois";0,391485119046098
30;"Un homme";45;"Oui";3;"Oui, autant que je voulais";"Non, je suis toujours dans mon logement habituel.";"Oui";"Oui, je manque un peu de temps libre";"Oui";"Non sélectionné";"Non, jamais";"Ni plus ni moins";"Plus souvent";"A droite";"Un diplôme universitaire correspondant à plus de 4 années d'études supérieures après le baccalauréat (maîtrise, DEA, DES";"En emploi";"Cadres et professions intellectuelles supérieures";"De 2500 euros à moins de 3000 euros par mois";0,555946581865629
31;"Un homme";32;"Oui";3;"Oui, autant que je voulais";"Non, je suis toujours dans mon logement habituel.";"Non sélectionné";"Non, je ne manque pas vraiment de temps libre";"Oui";"Non sélectionné";"Non, jamais";"Moins souvent";"Moins souvent";"A droite";"Un diplôme universitaire correspondant à plus de 4 années d'études supérieures après le baccalauréat (maîtrise, DEA, DES";"En emploi";"Cadres et professions intellectuelles supérieures";"De 5000 euros à moins de 6000 euros par mois";0,558546636202849
32;"Une femme";19;"Oui";2;"Oui, autant que je voulais";"Non, je suis toujours dans mon logement habituel.";"Non sélectionné";"Non, je ne manque pas du tout de temps libre";"Oui";"Non sélectionné";"Non, jamais";"Ni plus ni moins";"Ni plus ni moins";"Au centre";"Le baccalauréat";"En études";;"De 2500 euros à moins de 3000 euros par mois";1,32176326580691
33;"Une femme";21;"Oui";2;"Non";"Non, je suis toujours dans mon logement habituel.";"Non sélectionné";"Non, je ne manque pas du tout de temps libre";"Oui";"Non sélectionné";"Non, jamais";"Moins souvent";"Plus souvent";"A gauche";"Un diplôme universitaire correspondant à moins de 4 années d'études supérieures après le baccalauréat (par exemple : DUT";"En études";;"De 800 euros à moins de 1200 euros par mois";1,80798659178591
34;"Une femme";28;"Non";3;"Oui, autant que je voulais";"Non, je suis toujours dans mon logement habituel.";"Non sélectionné";"Non, je ne manque pas du tout de temps libre";"Oui";"Non sélectionné";"Non, jamais";"Moins souvent";"Moins souvent";"Au centre";"Un diplôme universitaire correspondant à plus de 4 années d'études supérieures après le baccalauréat (maîtrise, DEA, DES";"En emploi";"Professions intermédiaires";"De 2000 euros à moins de 2500 euros par mois";0,486080984407677
35;"Une femme";56;"Oui";3;"Oui, autant que je voulais";"Non, je suis toujours dans mon logement habituel.";"Non sélectionné";"Non, je ne manque pas vraiment de temps libre";"Oui";"Oui";"Oui, plusieurs fois";"Plus souvent";"Plus souvent";"Je ne me retrouve pas dans ces catégories";"Un diplôme universitaire correspondant à plus de 4 années d'études supérieures après le baccalauréat (maîtrise, DEA, DES";"En emploi";"Cadres et professions intellectuelles supérieures";"6000 euros par mois et plus";0,206141606141521
36;"Un homme";70;"Oui";2;"Oui, mais pas autant que je voulais";"Non, je suis toujours dans mon logement habituel.";"Non sélectionné";"Non, je ne manque pas vraiment de temps libre";"Non sélectionné";"Non sélectionné";"Non, jamais";"Moins souvent";"Moins souvent";"A droite";"Le certificat d'études ou un diplôme de l'enseignement secondaire autre que le baccalauréat (par exemple : CAP, BEP, Bre";"Retraité(e)";"Ouvrier(e)s";"De 1600 euros à moins de 2000 euros par mois";1,01889596987092
37;"Une femme";66;"Oui";2;"Oui, autant que je voulais";"Non, je suis toujours dans mon logement habituel.";"Non sélectionné";"Non, je ne manque pas du tout de temps libre";"Oui";"Non sélectionné";"Oui, une seule fois";"Ni plus ni moins";"Ni plus ni moins";"Au centre";"Un diplôme universitaire correspondant à moins de 4 années d'études supérieures après le baccalauréat (par exemple : DUT";"Retraité(e)";"Cadres et professions intellectuelles supérieures";"De 5000 euros à moins de 6000 euros par mois";2,01507625099211
38;"Une femme";38;"Oui";5;"Oui, autant que je voulais";"Non, je suis toujours dans mon logement habituel.";"Oui";"Non, je ne manque pas du tout de temps libre";"Oui";"Non sélectionné";"Non, jamais";"Moins souvent";"Plus souvent";"Ni à gauche ni à droite";"Un diplôme universitaire correspondant à moins de 4 années d'études supérieures après le baccalauréat (par exemple : DUT";"A la recherche d'un emploi";"Employé(e)s";"De 1200 euros à moins de 1600 euros par mois";0,575645407466264
39;"Une femme";46;"Oui";5;"Non";"Non, je suis toujours dans mon logement habituel.";"Non sélectionné";"Oui, je manque un peu de temps libre";"Oui";"Non sélectionné";"Non, jamais";"Plus souvent";"Ni plus ni moins";"A gauche";"Un diplôme universitaire correspondant à plus de 4 années d'études supérieures après le baccalauréat (maîtrise, DEA, DES";"En emploi";"Professions intermédiaires";"De 3000 euros à moins de 4000 euros par mois";0,472727087926921
40;"Une femme";45;"Oui";5;"Oui, mais pas autant que je voulais";"Non, je suis toujours dans mon logement habituel.";"Oui";"Non, je ne manque pas du tout de temps libre";"Non sélectionné";"Non sélectionné";"Non, jamais";"Ni plus ni moins";"Ni plus ni moins";"A gauche";"Un diplôme universitaire correspondant à plus de 4 années d'études supérieures après le baccalauréat (maîtrise, DEA, DES";"En emploi";"Professions intermédiaires";"De 2000 euros à moins de 2500 euros par mois";0,743018100640578
41;"Une femme";73;"Oui";2;"Oui, autant que je voulais";"Non, je suis toujours dans mon logement habituel.";"Oui";"Non, je ne manque pas du tout de temps libre";"Oui";"Non sélectionné";"Oui, une seule fois";"Plus souvent";"Plus souvent";"A gauche";"Le baccalauréat";"Retraité(e)";"Professions intermédiaires";"De 2000 euros à moins de 2500 euros par mois";1,21155956849806
42;"Un homme";49;"Non";1;"Oui, autant que je voulais";"Non, je suis toujours dans mon logement habituel.";"Non sélectionné";"Non, je ne manque pas du tout de temps libre";"Oui";"Non sélectionné";"Non, jamais";"Moins souvent";"Moins souvent";"A droite";"Un diplôme universitaire correspondant à plus de 4 années d'études supérieures après le baccalauréat (maîtrise, DEA, DES";"En études";"Cadres et professions intellectuelles supérieures";"Moins de 800 euros par mois";2,51440439910306
43;"Une femme";25;"Oui";2;"Oui, autant que je voulais";"Non, je suis toujours dans mon logement habituel.";"Non sélectionné";"Non, je ne manque pas du tout de temps libre";"Oui";"Non sélectionné";"Non, jamais";"Plus souvent";"Plus souvent";"A gauche";"Un diplôme universitaire correspondant à plus de 4 années d'études supérieures après le baccalauréat (maîtrise, DEA, DES";"En apprentissage ou en stage";"Cadres et professions intellectuelles supérieures";"De 3000 euros à moins de 4000 euros par mois";0,189102389982019
44;"Une femme";39;"Oui";3;"Oui, autant que je voulais";"Non, je suis toujours dans mon logement habituel.";"Oui";"Non, je ne manque pas vraiment de temps libre";"Non sélectionné";"Oui";"Non, jamais";"Moins souvent";"Ni plus ni moins";"Je ne me retrouve pas dans ces catégories";"Un diplôme universitaire correspondant à moins de 4 années d'études supérieures après le baccalauréat (par exemple : DUT";"En emploi";"Professions intermédiaires";"De 2000 euros à moins de 2500 euros par mois";0,318263412209923
45;"Une femme";59;"Oui";2;"Oui, autant que je voulais";"Non, je suis toujours dans mon logement habituel.";"Oui";"Non, je ne manque pas vraiment de temps libre";"Oui";"Non sélectionné";"Non, jamais";"Ni plus ni moins";"Plus souvent";"Ni à gauche ni à droite";"Le baccalauréat";"Dans une autre situation d'inactivité";"Professions intermédiaires";"De 3000 euros à moins de 4000 euros par mois";2,06775548182009
46;"Une femme";58;"Non";1;"Oui, autant que je voulais";"Non, je suis toujours dans mon logement habituel.";"Oui";"Non, je ne manque pas du tout de temps libre";"Non sélectionné";"Non sélectionné";"Non, jamais";"Moins souvent";"Ni plus ni moins";"A gauche";"Un diplôme universitaire correspondant à moins de 4 années d'études supérieures après le baccalauréat (par exemple : DUT";"En emploi";"Professions intermédiaires";"De 3000 euros à moins de 4000 euros par mois";0,343885954542159
47;"Une femme";49;"Oui";4;"Oui, autant que je voulais";"Non, je suis toujours dans mon logement habituel.";"Oui";"Oui, je manque un peu de temps libre";"Oui";"Non sélectionné";"Non, jamais";"Ni plus ni moins";"Plus souvent";"Je ne me retrouve pas dans ces catégories";"Le certificat d'études ou un diplôme de l'enseignement secondaire autre que le baccalauréat (par exemple : CAP, BEP, Bre";"En emploi";"Employé(e)s";"De 3000 euros à moins de 4000 euros par mois";0,419439737274425
48;"Une femme";43;"Oui";4;"Oui, autant que je voulais";"Non, je suis toujours dans mon logement habituel.";"Non sélectionné";"Non, je ne manque pas vraiment de temps libre";"Oui";"Non sélectionné";"Oui, une seule fois";"Plus souvent";"Plus souvent";"Je ne me retrouve pas dans ces catégories";"Un diplôme universitaire correspondant à moins de 4 années d'études supérieures après le baccalauréat (par exemple : DUT";"En emploi";"Professions intermédiaires";"De 3000 euros à moins de 4000 euros par mois";0,260646629865789
49;"Une femme";67;"Non";1;;"Non, je suis toujours dans mon logement habituel.";"Non sélectionné";"Non, je ne manque pas du tout de temps libre";"Non sélectionné";"Oui";"Oui, une seule fois";"Plus souvent";"Plus souvent";"Je ne me retrouve pas dans ces catégories";"Le certificat d'études ou un diplôme de l'enseignement secondaire autre que le baccalauréat (par exemple : CAP, BEP, Bre";"Retraité(e)";;"De 800 euros à moins de 1200 euros par mois";1,47236346030317
50;"Une femme";35;"Oui";3;"Oui, mais pas autant que je voulais";"Non, je suis toujours dans mon logement habituel.";"Oui";"Non, je ne manque pas vraiment de temps libre";"Oui";"Oui";"Non, jamais";"Plus souvent";"Plus souvent";"A droite";"Un diplôme universitaire correspondant à moins de 4 années d'études supérieures après le baccalauréat (par exemple : DUT";"En emploi";"Professions intermédiaires";"De 2500 euros à moins de 3000 euros par mois";0,318263412209923
51;"Une femme";20;"Oui";1;"Oui, mais pas autant que je voulais";"Non, je suis toujours dans mon logement habituel.";"Non sélectionné";"Non, je ne manque pas vraiment de temps libre";"Non sélectionné";"Non sélectionné";"Non, jamais";"Ni plus ni moins";"Moins souvent";"Je ne me retrouve pas dans ces catégories";"Le baccalauréat";"En études";;"De 1200 euros à moins de 1600 euros par mois";1,24532416793912
52;"Un homme";63;"Non";1;"Oui, autant que je voulais";"Non, je suis toujours dans mon logement habituel.";"Non sélectionné";"Non, je ne manque pas du tout de temps libre";"Oui";"Oui";"Non, jamais";"Ni plus ni moins";"Ni plus ni moins";"A gauche";"Aucun diplôme";"Retraité(e)";"Cadres et professions intellectuelles supérieures";"De 1600 euros à moins de 2000 euros par mois";0,848815735884082
53;"Une femme";38;"Oui";3;"Oui, autant que je voulais";"Non, je suis toujours dans mon logement habituel.";"Oui";"Oui, je manque un peu de temps libre";"Oui";"Oui";"Non, jamais";"Plus souvent";"Plus souvent";"Je ne me retrouve pas dans ces catégories";"Un diplôme universitaire correspondant à moins de 4 années d'études supérieures après le baccalauréat (par exemple : DUT";"En emploi";"Professions intermédiaires";"De 3000 euros à moins de 4000 euros par mois";0,260646629865789
54;"Un homme";38;"Oui";4;"Oui, autant que je voulais";"Non, je suis toujours dans mon logement habituel.";"Oui";"Non, je ne manque pas vraiment de temps libre";"Non sélectionné";"Oui";"Non, jamais";"Moins souvent";"Plus souvent";"A gauche";"Un diplôme universitaire correspondant à plus de 4 années d'études supérieures après le baccalauréat (maîtrise, DEA, DES";"En emploi";"Cadres et professions intellectuelles supérieures";"De 3000 euros à moins de 4000 euros par mois";0,539867869016862
55;"Un homme";72;"Oui";2;"Oui, autant que je voulais";"Non, je suis toujours dans mon logement habituel.";"Non sélectionné";"Non, je ne manque pas du tout de temps libre";"Non sélectionné";"Non sélectionné";"Non, jamais";"Ni plus ni moins";"Plus souvent";"A gauche";"Un diplôme universitaire correspondant à moins de 4 années d'études supérieures après le baccalauréat (par exemple : DUT";"Retraité(e)";"Cadres et professions intellectuelles supérieures";"De 5000 euros à moins de 6000 euros par mois";1,46791458399276
56;"Une femme";55;"Non";2;"Oui, autant que je voulais";"Non, je suis toujours dans mon logement habituel.";"Oui";"Non, je ne manque pas vraiment de temps libre";"Non sélectionné";"Non sélectionné";"Non, jamais";"Ni plus ni moins";"Ni plus ni moins";"A gauche";"Un diplôme universitaire correspondant à plus de 4 années d'études supérieures après le baccalauréat (maîtrise, DEA, DES";"En emploi";"Cadres et professions intellectuelles supérieures";"De 5000 euros à moins de 6000 euros par mois";0,469503329913295
57;"Une femme";59;"Oui";2;"Oui, autant que je voulais";"Non, je suis toujours dans mon logement habituel.";"Oui";"Non, je ne manque pas du tout de temps libre";"Non sélectionné";"Oui";"Non, jamais";"Ni plus ni moins";"Plus souvent";"A gauche";"Un diplôme universitaire correspondant à moins de 4 années d'études supérieures après le baccalauréat (par exemple : DUT";"En emploi";"Employé(e)s";"De 3000 euros à moins de 4000 euros par mois";0,631547229703204
58;"Une femme";51;"Oui";2;"Oui, autant que je voulais";"Non, je suis toujours dans mon logement habituel.";"Oui";"Non, je ne manque pas vraiment de temps libre";"Oui";"Non sélectionné";"Non, jamais";"Plus souvent";"Plus souvent";"A gauche";"Un diplôme universitaire correspondant à moins de 4 années d'études supérieures après le baccalauréat (par exemple : DUT";"En emploi";"Professions intermédiaires";"De 3000 euros à moins de 4000 euros par mois";0,522375945291805
59;"Une femme";52;"Oui";2;"Oui, autant que je voulais";"Non, je suis toujours dans mon logement habituel.";"Oui";"Non, je ne manque pas vraiment de temps libre";"Non sélectionné";"Non sélectionné";"Non, jamais";"Ni plus ni moins";"Ni plus ni moins";"Au centre";"Le certificat d'études ou un diplôme de l'enseignement secondaire autre que le baccalauréat (par exemple : CAP, BEP, Bre";"En emploi";"Professions intermédiaires";"De 2500 euros à moins de 3000 euros par mois";1,8213586707604
60;"Une femme";53;"Oui";2;"Oui, mais pas autant que je voulais";"Non, je suis toujours dans mon logement habituel.";"Oui";"Non, je ne manque pas du tout de temps libre";"Non sélectionné";"Non sélectionné";"Non, jamais";"Ni plus ni moins";"Plus souvent";"Je ne me retrouve pas dans ces catégories";"Le certificat d'études ou un diplôme de l'enseignement secondaire autre que le baccalauréat (par exemple : CAP, BEP, Bre";"En emploi";"Ouvrier(e)s";"De 2500 euros à moins de 3000 euros par mois";2,01290390027722
61;"Une femme";68;"Non";1;"Oui, autant que je voulais";"Non, je suis toujours dans mon logement habituel.";"Oui";"Non, je ne manque pas du tout de temps libre";"Oui";"Oui";"Non, jamais";"Plus souvent";"Plus souvent";"Très à gauche";"Un diplôme universitaire correspondant à moins de 4 années d'études supérieures après le baccalauréat (par exemple : DUT";"Retraité(e)";;"De 2000 euros à moins de 2500 euros par mois";0,633009042436101
62;"Une femme";20;"Oui";2;"Oui, autant que je voulais";"Oui, j'ai changé de logement";"Non sélectionné";"Non, je ne manque pas du tout de temps libre";"Non sélectionné";"Non sélectionné";"Non, jamais";"Ni plus ni moins";"Plus souvent";"A droite";"Le baccalauréat";"En emploi";"Employé(e)s";"De 800 euros à moins de 1200 euros par mois";1,25876629306751
